scenario_id,estimate,p,p_holm,ci_lo,ci_hi,first_token_estimate,floor,passes,c1_pc_nc_gates,c2_above_floor,c3_ci_excludes_zero,c4_holm_significant,c5_sign_all_codebooks,c6_sign_both_paraphrases,c7_loio_sign_stable,c8_no_reversing_interaction,c9_worst_case_ok,c10_first_token_reported
arb_component,1.0022796923382538,0.0,0.0,0.7028012900335279,1.3144551744422674,1.00227864067953,0.9635573341851974,0,0,1,1,1,1,1,1,1,1,1
arb_docsection,0.5043168015218357,0.0,0.0,0.30118091280790177,0.7175882368115489,0.5061848989547192,0.9635573341851974,0,0,0,1,1,1,1,1,1,1,1
arb_execmode,1.2996391894297465,0.0,0.0,1.0897211528223518,1.5051266281809574,1.2996419299167126,0.9635573341851974,0,0,1,1,1,1,1,1,1,1,1
arb_lint,1.1542981979316898,0.0,0.0,0.8544827047197895,1.4668082195273624,1.154296873635758,0.9635573341851974,0,0,1,1,1,1,1,1,1,1,1
arb_naming,0.2731026318553858,0.0,0.0,0.0012810624060004753,0.5374404350281701,0.2731119784633241,0.9635573341851974,0,0,0,1,1,1,1,1,1,1,1
arb_notes,-0.08985811904533636,0.0017,0.0034,-0.2939578632765312,0.11391946159765712,-0.08984374968228319,0.9635573341851974,0,0,0,0,1,0,0,1,1,1,1
arb_seed,0.007234116714754176,0.6983,0.6983,-0.24049594809757485,0.2595473156558862,0.0048828054568730295,0.9635573341851974,0,0,0,0,0,0,0,0,0,1,1
arb_setup,1.1533252955997497,0.0,0.0,0.9036453976205882,1.4746917969265279,1.1533203148076911,0.9635573341851974,0,0,1,1,1,1,1,1,1,1,1
arb_shard,0.916013082924577,0.0,0.0,0.6145777463755958,1.2360051915811523,0.916015615553988,0.9635573341851974,0,0,0,1,1,1,1,1,1,1,1
arb_storage,0.19435994891771757,0.0,0.0,-0.007142193112476032,0.3955371157724914,0.1943359404564641,0.9635573341851974,0,0,0,0,1,1,0,1,1,1,1
arb_testorder,0.6259836172386571,0.0,0.0,0.3287633155608088,0.9277392122378495,0.6259765615638267,0.9635573341851974,0,0,0,1,1,1,1,1,1,1,1
arb_traversal,0.8011056064098341,0.0,0.0,0.5371077784654419,1.073576240055275,0.8011067721627114,0.9635573341851974,0,0,0,1,1,1,1,1,1,1,1
