site,depth,ready,corr,auc,corr_band,split_half,neutral_corr,score
context_end,13,1,0.8269667024408697,1.0,0.10451866411932172,0.8339169343425648,0.10453216589506029,0.7052025311849067
context_end,22,0,0.7648797904639079,0.994140625,0.10259635556217218,0.7678206434543124,0.07402985729431596,
context_end,32,0,0.7744873684373119,0.9873046875,0.10024082111633802,0.7933109852855513,0.07928975421727934,
context_end,42,0,0.7794979309610268,0.982421875,0.10006340555226048,0.7988070043272959,0.06538630601339661,
context_end,51,0,0.7623505748834101,0.9716796875,0.10070560008873872,0.7670574989737295,0.0552076270657368,
context_end,61,0,0.7463305596576865,0.9638671875,0.09756242675978694,0.762427438277105,0.05078992637193974,
option_a_end,13,0,0.38696174826910384,0.7501220703125,0.10392897040401897,0.8484228078018522,-0.4203014206259248,
option_a_end,22,0,0.5724081470946296,0.9014892578125,0.10625430745407934,0.8066272795713973,-0.052983443738108954,
option_a_end,32,0,0.5670993415164883,0.90234375,0.10687946273811076,0.765277202453426,-0.07109344987022652,
option_a_end,42,0,0.5708065578447377,0.894287109375,0.10624224327757693,0.7636109103577127,-0.0324868044091105,
option_a_end,51,0,0.5860828096941619,0.90350341796875,0.1028783735773163,0.7703606763323335,0.04219526179759352,
option_a_end,61,0,0.5802984966207856,0.8955078125,0.10852009944747279,0.7448601982415801,-0.07594581983223647,
option_b_end,13,0,0.502331986711991,0.8271484375,0.10559360711128012,0.8841350300675626,0.34552307231377266,
option_b_end,22,0,0.5981346623759433,0.91552734375,0.10578933665638228,0.8246245488046,-0.29241579916661475,
option_b_end,32,0,0.5838536605278378,0.90338134765625,0.10098999548966342,0.7536417650219701,-0.25711179752454344,
option_b_end,42,0,0.5684736621021056,0.89593505859375,0.10733714176987895,0.7367568958138679,-0.24684384528052042,
option_b_end,51,0,0.546280089240668,0.88140869140625,0.1033735994719341,0.7497259101878582,-0.27365717407858886,
option_b_end,61,0,0.5563416246148155,0.88714599609375,0.11190107031055954,0.7164459326650829,-0.27499090329408726,
menu_end,13,0,0.704972908423094,0.9525146484375,0.09669141616186014,0.8696024849547743,-0.17294555900073622,
menu_end,22,0,0.6440796641585941,0.93878173828125,0.10654369203273471,0.8396048384745749,-0.11635631386097743,
menu_end,32,0,0.5996176475103993,0.90679931640625,0.09486970966523907,0.8064231578942123,0.11370042461630073,
menu_end,42,0,0.6049908700481105,0.9080810546875,0.09977251078340599,0.8004095529438138,0.13015361407072723,
menu_end,51,0,0.6056230314677128,0.9091796875,0.0989568129847736,0.7716193839998897,0.11202004725459969,
menu_end,61,0,0.5882100808945877,0.8951416015625,0.09477494595226857,0.7324399792202566,0.14464901695623036,
response_instruction_start,13,0,0.46126128654948856,0.8104248046875,0.08786777012465623,0.7768995742362097,0.04530602126777777,
response_instruction_start,22,0,0.5452833919460668,0.85479736328125,0.09402306696620817,0.8580660794871395,-0.05101773673818887,
response_instruction_start,32,0,0.4902637854542185,0.8382568359375,0.10122525507672481,0.8357977070286593,-0.07795704547463102,
response_instruction_start,42,0,0.4985008516967476,0.84466552734375,0.10036330703001034,0.8129639849986016,-0.0751974164250752,
response_instruction_start,51,0,0.4950144571720521,0.84454345703125,0.09693467009870076,0.8058820145169163,-0.09529250948630348,
response_instruction_start,61,0,0.4676729612331912,0.83233642578125,0.10208018842258902,0.7825624573243203,-0.10481035877026618,
