site,depth,ready,corr,auc,corr_band,split_half,neutral_corr,score
context_end,13,0,0.8070348051542362,0.9912109375,0.0995511015260724,0.8688416631544222,0.050499174485940226,
context_end,22,0,0.7736818461120366,0.974609375,0.10021886113098843,0.8607246200429302,-0.01632955476858473,
context_end,32,0,0.6704429665077922,0.935546875,0.1008372328002779,0.832496833572824,-0.021291136488943836,
context_end,42,0,0.6461669509899511,0.9267578125,0.10091353398386185,0.8262646431712215,-0.024698031947849163,
context_end,51,0,0.6516492514174048,0.9365234375,0.09662625798643353,0.8479452932731916,-0.024301454231963657,
context_end,61,0,0.6642361923213135,0.927734375,0.10251759464890009,0.8080665965449596,-0.026466325367609164,
option_a_end,13,0,0.5030058259106304,0.82568359375,0.105410397487437,0.8578552447693653,0.3146308641282162,
option_a_end,22,0,0.6750545900534072,0.9561767578125,0.10515231960822273,0.8974483061359522,-0.11178808053269923,
option_a_end,32,0,0.3039191562940386,0.72113037109375,0.10719006121253055,0.8795251020155105,-0.2665901397545735,
option_a_end,42,0,0.3584061349476938,0.75811767578125,0.1128147665806911,0.8737574497894001,-0.21044858411128262,
option_a_end,51,0,0.38001676158617304,0.77020263671875,0.1068598625941583,0.8612113890307979,-0.20200844261161705,
option_a_end,61,0,0.505758519557671,0.8740234375,0.109869185973204,0.8625488759499693,-0.1446715426781503,
option_b_end,13,0,0.4459785808609162,0.77142333984375,0.1110370136099226,0.8733128155178025,-0.31037320386814854,
option_b_end,22,0,0.5846851762438494,0.89227294921875,0.11136528750728142,0.9013893994949882,-0.25173539679627843,
option_b_end,32,0,0.5503273758648534,0.8779296875,0.10460669047707252,0.8570720612373874,-0.11729762470719156,
option_b_end,42,0,0.47864122107298473,0.81634521484375,0.10774176036866087,0.8339478205616967,-0.20140831418719965,
option_b_end,51,0,0.6009684480729804,0.906494140625,0.10090645651339897,0.8218294550436362,-0.12152502357843746,
option_b_end,61,0,0.6271015215375626,0.92041015625,0.10751425522010478,0.82799660267692,-0.06943787176509096,
menu_end,13,0,0.7071939723784229,0.96759033203125,0.0955011249771961,0.8342013577609872,-0.06573459814776834,
menu_end,22,0,0.6166682473443383,0.92388916015625,0.09790405285001683,0.8898875657649219,-0.11285631473885874,
menu_end,32,0,0.49950688042410124,0.86236572265625,0.09941370885589551,0.8563993602537441,-0.14285622857808442,
menu_end,42,0,0.49687893499594643,0.86212158203125,0.09922442170867288,0.8177208464297501,-0.15188453843290423,
menu_end,51,0,0.5392186594028072,0.88665771484375,0.10240596234771376,0.8042558475477322,-0.1499833034794218,
menu_end,61,0,0.5659103419945377,0.89398193359375,0.1061922935202914,0.8256353106959957,-0.13288430913817592,
response_instruction_start,13,0,0.6326787866696783,0.90771484375,0.1008697818410165,0.8570786504826858,-0.09143037155114106,
response_instruction_start,22,0,0.737062128268515,0.96575927734375,0.10356700004713447,0.8171982889062226,-0.07148393180844147,
response_instruction_start,32,0,0.549404504190659,0.862548828125,0.09108147049030882,0.7654123550918905,0.004689541322200051,
response_instruction_start,42,0,0.5149491736988979,0.8375244140625,0.09873597836934232,0.7431761093725533,0.013353768846663425,
response_instruction_start,51,0,0.4910587493477305,0.81982421875,0.09571111980588999,0.7604157192924879,0.011685728024777752,
response_instruction_start,61,0,0.4597762084321831,0.7969970703125,0.0932830001302539,0.770913483001378,0.025889249935059915,
