scenario_id,slope,p,ci_lo,ci_hi,holdout_rank_corr,neutral_intercept,crossing,passes,c1_expected_sign,c2_ci_excludes_zero,c3_holm_significant,c4_holdout_monotonic,c5_both_orientations,c6_strata_agree,c7_above_null_floor,c8_no_single_incidental
mech_component,0.45239326525026535,0.0,0.38193408542439816,0.5247580121967288,0.9999999999999999,0.8549807713675941,-0.9714285714285714,1,1,1,1,1,1,1,1,1
mech_docsection,0.23945361103106125,0.0,0.19834108690243352,0.2821799055336415,0.8999999999999998,0.7749041301018176,nan,1,1,1,1,1,1,1,1,1
mech_execmode,0.5650881448412489,0.0,0.5125002508160176,0.6193374693964221,0.8999999999999998,0.24023433983529272,-0.3207547169811321,1,1,1,1,1,1,1,1,1
