layer,metric,value,classification,source_evidence_id
L44,declared_dose_bootstrap_tre_ci95_high,6.29218961902985,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,local_tangent_classification,local_tangent_mismatch,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,smallest_primary_n_evaluable,14,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,smallest_primary_n_pass,1,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,smallest_primary_pass_fraction,0.07142857142857142,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_n_evaluable,12,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_n_pass,0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,smallest_primary_median_tangent_cosine,0.19507496058940887,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,smallest_primary_median_tangent_relative_error,2.0608195114706813,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,smallest_primary_median_gain,2.10797836410616,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_median_tangent_cosine,0.1382116936147213,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_median_tangent_relative_error,4.441375243665926,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_median_gain,4.33053902449931,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_bootstrap_tre_estimate,4.385608721499301,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_bootstrap_tre_ci95_low,4.010356274283009,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L52,declared_dose_bootstrap_tre_ci95_high,5.033870017291542,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
"OLMo-late-anchors(L56,L60)",declared_dose_median_tangent_relative_error,0.1109976417674865,control_transport_pass,gm-jvp-olmo-positive-control-v1
"OLMo-late-anchors(L56,L60)",declared_dose_median_tangent_cosine,0.9938695132732391,control_transport_pass,gm-jvp-olmo-positive-control-v1
"OLMo-late-anchors(L56,L60)",declared_dose_pass_fraction,1.0,control_transport_pass,gm-jvp-olmo-positive-control-v1
"OLMo-late-anchors(L56,L60)",positive_control_pass,True,control_transport_pass,gm-jvp-olmo-positive-control-v1
OLMo-shallow(L4),declared_dose_median_tangent_relative_error,0.7412546563037056,control_shallow_reference,gm-jvp-olmo-positive-control-v1
all-slots(batch8),study1_backend_all_slot_relative_error,0.002458111383020878,backend_disagreement_reference,gm-jvp-gemma-backend-parity-v1
pooled(936 rows),study2_backend_disagreement_q99,0.026234563004519824,backend_disagreement_reference,gm2-backend-parity-calibration-v1
pooled(936 rows),study2_frozen_backend_ceiling,0.07870368901355948,backend_disagreement_reference,gm2-backend-parity-calibration-v1
