scenario_id,estimate,p,p_holm,ci_lo,ci_hi,first_token_estimate,floor,passes,c1_pc_nc_gates,c2_above_floor,c3_ci_excludes_zero,c4_holm_significant,c5_sign_all_codebooks,c6_sign_both_paraphrases,c7_loio_sign_stable,c8_no_reversing_interaction,c9_worst_case_ok,c10_first_token_reported,choice
arb_component,0.5322268152128307,0.0,0.0,0.39387225788698776,0.6702476264099952,0.5322265600310251,0.8333335066736632,0,1,0,1,1,1,1,1,1,1,1,0.1171875
arb_docsection,0.581706274990116,0.0,0.0,0.4044863192376541,0.771550912077148,0.5817057284612019,0.8333335066736632,0,1,0,1,1,1,1,1,1,1,1,0.10026041666666667
arb_execmode,1.176106801569494,0.0,0.0,1.046277103595226,1.5459867277699155,1.176106770370249,0.8333335066736632,1,1,1,1,1,1,1,1,1,1,1,0.3125
arb_lint,0.41276074139200597,0.0,0.0,0.23470081942108664,0.5963544468190226,0.4127604203968076,0.8333335066736632,0,1,0,1,1,1,1,1,1,1,1,0.052083333333333336
arb_naming,0.5742193251704261,0.0,0.0,0.3619798151689982,0.8004646523639811,0.5742187508561377,0.8333335066736632,0,1,0,1,1,1,1,1,1,1,1,0.08333333333333333
arb_notes,-0.07910159301197067,0.0004,0.0008,-0.2578125347162501,0.10449222762784824,-0.07910156259216213,0.8333335066736632,0,1,0,0,1,1,0,1,1,1,1,-0.036458333333333336
arb_seed,0.18684841916606412,0.0,0.0,-0.016602238719288273,0.40038991542691105,0.18684895870804516,0.8333335066736632,0,1,0,0,1,1,1,1,1,1,1,0.020833333333333332
arb_setup,0.6707356986546819,0.0,0.0,0.5691540630941719,0.9095271460073603,0.6707356797178363,0.8333335066736632,0,1,0,1,1,1,1,1,1,1,1,0.16796875
arb_shard,0.2890624373202036,0.0,0.0,0.15820304621364603,0.42187495049285123,0.289062499718663,0.8333335066736632,0,1,0,1,1,1,1,1,1,1,1,0.078125
arb_storage,0.17903682975483812,0.0002,0.0006000000000000001,-0.010749891552960921,0.367513166502243,0.1790364547438609,0.8333335066736632,0,1,0,0,1,1,0,1,1,1,1,0.0546875
arb_testorder,0.4811198070457326,0.0,0.0,0.322265878017611,0.6520182156043848,0.4811197918340137,0.8333335066736632,0,1,0,1,1,1,1,1,1,1,1,0.10416666666666667
arb_traversal,-0.04980469832660581,0.0083,0.0083,-0.1884766400990112,0.08659669046245462,-0.049804687150754035,0.8333335066736632,0,1,0,0,1,0,1,1,1,1,1,-0.018229166666666668
