scenario_id,strength,margin
mech_component,-2,-0.0029306512497933035
mech_component,-1,0.2202148005156396
mech_component,0,0.8549807713675941
mech_component,1,1.5019542796201806
mech_component,2,1.6181659354492628
mech_docsection,-2,0.281254769589561
mech_docsection,-1,0.3867203132056619
mech_docsection,0,0.7749041301018176
mech_docsection,1,1.3847714868809367
mech_docsection,2,0.9794972379072295
mech_execmode,-2,-1.2529303023521932
mech_execmode,-1,-1.0913092461668912
mech_execmode,0,0.24023433983529272
mech_execmode,1,0.49218768443433075
mech_execmode,2,0.7807619565534397
